ID	57884	57885	57886	57887	57888	57889	57890	57891	57892	57893	57894	57895	57896	57897	57898	57899	57900	57901	57902	57903	57904	57905	57906	57907	57908	57909	57910	57911	57912	57913	57914	57915	57916	57917	57918	57919	57920	57921	57922	57923	57924	57925	57926	57927	57928	57929	57930	57931	57932	57933	57934	57935	57936	57938	57939	57940	57941	57942	57943	57944	57945	57946	57947	57948	57949	57950	57951	57952	57953	57954	57955	57956	57958	57959	57960	57961	57962	57963	57964	57965	57966	57967	57968	57969	57971	57972	57973	57974	58019	58020
UNI1921	633	404	50	505	167	415	1369	0	1565	117	860	81	487	928	178	490	1169	27	4	440	14	317	9	81	4	3	0	1	132	4	0	0	1	7	53	457	106	0	1	12	2	0	13	0	1	0	2	0	0	0	7	15	63	0	0	292	77	292	52	25	26	1	0	82	7	19	0	93	5	37	763	18	36	0	2	34	0	0	13	87	3	100	88	0	0	0	7	2	16	1
UNI21	122	119	160	13	0	40	17	7	8	18	12	11	398	94	16	32	59	0	0	27	72	24	30	25	28	0	0	6	19	1	9	0	1	1	36	33	8	4	0	27	10	0	0	0	0	14	4	63	0	15	2	27	34	0	5	133	120	165	87	21	19	0	10	4	3	6	0	2	110	126	214	44	53	0	0	0	0	0	0	0	0	28	167	0	0	0	2	0	0	0
UNI184	25	20	32	2	1	0	1	0	3	1	6	5	13	0	5	13	19	1	0	3	1	8	12	0	10	0	0	6	4	0	3	0	1	0	6	8	1	0	0	1	1	0	0	0	1	0	2	2	0	2	1	3	12	0	0	28	15	31	14	5	1	0	0	1	2	4	0	1	11	14	31	14	9	0	0	0	0	0	0	0	0	2	25	0	0	0	4	0	0	0
UNI3121	426	58	7	165	8	2180	247	113	307	173	96	1	565	373	35	149	1378	32	0	168	195	256	8	221	13	0	0	30	1094	41	28	0	264	48	368	250	200	262	6	49	107	33	52	23	20	15	271	1223	2	12	14	25	106	27	19	51	22	37	399	28	98	3	206	66	50	118	0	1529	525	924	525	141	307	67	22	555	6	81	115	146	8	80	90	1	131	17	37	1	2064	105
UNI395	15	6	9	3	0	0	2	0	1	0	0	2	3	0	0	11	8	0	0	3	1	3	2	0	3	0	0	2	2	0	1	0	0	0	4	3	1	0	0	0	0	0	0	0	0	4	1	1	0	1	0	1	1	0	0	12	7	17	5	4	1	0	0	2	1	1	0	0	3	3	13	9	4	0	0	0	0	0	0	0	0	2	6	0	0	0	1	0	0	0
UNI42	40	29	16	19	7	11	57	10	34	7	9	11	17	15	4	9	8	0	0	31	58	45	2	110	14	25	9	4	32	18	24	0	9	0	23	35	20	104	4	12	132	3	2	0	0	25	3	7	0	79	1	3	2	3	10	100	155	124	3	10	1	2	0	8	14	4	13	2	11	5	1	15	12	8	3	16	0	0	10	22	2	13	19	1	1	0	0	0	14	6
UNI2627	288	376	143	500	45	48	64	102	34	7	161	76	155	63	208	16	55	22	1	64	70	179	8	208	72	1	9	8	85	30	16	0	0	2	31	216	274	21	0	89	5	0	4	1	2	3	37	72	2	19	6	27	18	83	116	429	185	335	9	83	28	2	164	49	41	66	53	104	24	80	140	359	55	7	0	42	7	1	287	187	3	98	65	2	9	11	22	3	146	7
UNI40	63	69	100	5	0	21	12	6	7	6	9	9	245	42	6	27	24	0	0	21	43	10	19	11	21	0	0	7	9	1	8	0	0	0	24	17	8	1	0	13	10	0	0	0	0	6	4	33	0	6	2	13	13	2	1	85	62	106	39	4	11	1	5	4	1	5	0	1	62	77	133	21	34	0	0	0	0	0	0	0	0	27	115	0	0	0	0	2	0	0
UNI1641	1	1	0	1	0	0	4	0	1	0	1	1	0	0	0	2	0	0	1	0	0	3	1	5	1	0	2	0	1	0	1	0	0	0	0	1	0	0	0	2	0	0	7	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	1	0	0	10	0	0	1	0	0	0	0	0	0	2	1	0	0	2	8	0	1	0	2	0	1	1	0	0	4	0	2	2
UNI710	37	2	0	1	2	13	19	0	5	26	7	0	0	0	1	1	7	0	0	1	0	0	9	0	0	0	0	3	11	0	4	18	17	2	5	5	0	0	0	0	5	52	0	4	3	0	5	11	0	0	0	0	4	0	0	0	0	0	10	1	2	0	0	0	1	0	1	0	6	3	3	1	2	3	3	24	0	18	0	2	1	2	0	4	0	1	1	0	3	0
UNI1	866	335	498	754	42	827	368	250	799	80	648	400	1666	1689	380	1470	1720	135	19	151	59	688	1264	407	1000	109	0	1752	600	13	418	336	357	93	507	472	698	242	177	34	311	10	79	164	76	357	474	734	27	961	63	362	797	22	20	853	438	1255	605	660	426	30	0	155	824	931	1013	929	72	286	712	636	1018	302	19	445	1	15	124	503	46	443	351	10	459	39	618	49	842	61
UNI4	220	82	111	193	13	209	104	62	228	24	163	118	421	443	109	328	460	42	7	48	17	155	330	116	278	27	0	474	174	7	120	100	72	27	135	131	193	55	45	5	83	2	13	47	13	101	124	217	5	224	23	99	206	3	1	269	116	281	178	171	108	4	0	33	225	234	246	206	18	84	181	191	248	73	3	119	0	2	33	129	21	115	103	1	147	17	176	14	1000	87
UNI1128	230	135	26	176	64	156	480	0	527	29	298	25	170	335	55	186	404	12	0	126	0	103	2	41	1	3	0	1	38	1	0	0	0	0	26	156	36	1	0	3	0	0	2	0	0	0	2	0	1	0	3	4	30	0	0	119	35	102	17	18	13	0	0	22	3	11	0	32	1	11	265	10	13	0	2	4	0	0	4	34	1	33	32	0	0	0	2	1	10	1
UNI8	267	288	451	24	0	63	35	3	23	41	38	37	1092	245	30	102	95	3	1	78	143	41	65	39	81	0	0	18	49	6	31	0	1	2	81	84	25	7	0	52	27	0	0	1	0	25	13	108	1	39	7	79	81	5	4	280	232	389	186	40	44	0	31	15	7	18	1	6	276	304	467	72	87	2	0	0	0	0	0	1	0	71	461	0	1	0	0	3	0	0
UNI2	456	164	206	370	19	436	160	128	398	43	266	216	767	824	192	688	800	56	9	70	23	269	535	169	492	55	1	881	280	11	214	189	143	39	264	252	346	120	103	15	164	5	33	92	32	205	251	390	9	461	18	167	353	4	8	474	215	586	295	328	233	24	0	69	425	413	478	450	50	160	361	319	455	140	5	199	2	13	69	259	14	205	166	3	237	22	348	32	714	54
UNI7	386	129	156	216	31	1214	505	258	294	465	103	47	724	179	52	410	274	61	2	247	844	240	69	240	100	23	0	29	57	24	43	0	31	27	90	171	91	281	34	70	101	61	13	29	62	134	77	268	7	48	18	83	75	17	112	220	200	277	291	67	53	2	15	56	100	187	275	724	94	47	303	60	87	32	7	51	2	227	67	179	16	91	147	17	48	35	17	10	1135	49
