OTU ID	HE327A	HE327C	HE327D	HE327E	HE327F	HE327G	HE327J	HE327K	HE327L	HE327N
otu17	593	2353	2948	595	669	576	1025	594	1468	672
otu269	1625	808	1598	1519	1520	531	765	89	182	163
otu500	217	618	342	255	968	596	409	182	323	184
otu114	1136	166	165	22	59	70	73	6	18	16
otu5119	69	289	213	45	216	169	145	99	149	59
otu533	101	103	63	52	195	111	100	77	137	23
otu1146	24	252	177	32	54	51	102	35	145	69
otu3288	16	70	79	43	88	126	75	157	167	55
otu1447	54	125	209	203	50	33	33	19	95	5
otu133	23	95	73	92	89	84	89	87	142	38
otu299	4	20	8	6	150	166	70	168	169	30
otu3148	42	119	113	31	96	63	90	50	63	44
otu977	37	58	33	46	138	109	98	37	89	51
otu626	35	62	70	9	64	73	46	120	166	40
otu1082	80	75	104	56	115	89	62	15	68	16
otu778	36	77	99	43	96	138	62	30	46	14
otu42	56	61	71	106	98	50	78	32	38	12
otu209	12	51	55	22	80	71	68	68	92	37
otu676	4	98	106	236	27	18	33	5	19	10
otu4889	20	109	70	23	67	61	44	30	51	26
otu828	22	83	98	40	85	77	48	12	22	6
otu123	5	33	22	21	67	80	54	69	86	21
otu286	209	65	40	13	40	15	32	4	18	3
otu5380	76	38	28	23	9	9	25	36	125	11
otu69	8	47	20	74	43	52	49	22	42	21
otu3641	10	68	84	4	35	25	33	23	73	18
otu43	38	64	73	13	67	42	29	3	21	11
otu8745	16	92	27	12	59	30	48	21	33	17
otu3537	25	64	100	14	31	17	31	4	25	14
otu1286	11	3	11	17	10	20	53	71	49	61
otu104	192	51	27	3	15	5	5	0	2	0
otu111	0	8	12	1	16	30	26	72	98	14
otu102	62	21	27	80	35	28	16	0	4	2
otu957	54	0	1	0	66	62	0	61	1	0
otu749	12	39	32	7	24	22	35	7	55	9
otu4798	34	43	57	15	23	9	33	1	9	3
otu239	145	24	7	1	10	7	5	1	17	2
otu858	15	11	6	62	41	36	16	13	10	3
otu2956	8	26	19	37	32	15	23	9	15	13
otu5867	2	14	10	89	31	8	14	6	8	4
otu6269	15	23	25	19	28	18	29	9	6	3
otu964	34	0	1	0	42	41	0	54	0	0
otu6286	4	30	32	29	9	7	13	17	23	6
otu3657	3	16	14	101	3	3	8	7	13	1
otu4662	2	22	31	80	3	1	6	10	7	1
otu189	0	4	6	3	14	26	15	49	31	7
otu671	0	0	0	154	0	0	0	0	0	0
otu1813	0	58	82	5	0	1	6	0	0	1
otu5155	0	5	16	129	2	0	0	0	0	0
otu5584	6	22	23	5	20	9	7	6	42	5
otu8616	8	17	35	5	39	8	23	1	1	4
otu645	18	17	16	4	6	4	12	14	44	4
otu1079	0	11	21	8	22	25	39	1	3	3
otu4611	1	23	36	2	17	5	14	4	25	6
otu295	4	11	2	22	18	45	21	2	3	1
otu672	0	8	8	71	10	17	9	1	3	0
otu6449	0	13	22	5	10	8	14	12	33	8
otu5061	24	5	8	0	23	24	3	28	2	3
otu6704	4	19	16	5	10	5	10	7	26	6
otu9003	2	8	18	22	6	9	11	8	19	4
otu993	1	15	13	24	13	22	14	1	2	1
otu439	4	14	6	3	25	32	10	0	6	5
otu6118	8	17	7	18	12	8	12	6	12	5
otu6743	10	21	11	4	28	3	18	2	7	1
otu3914	5	22	24	1	8	9	11	0	14	5
otu2952	2	8	18	30	9	4	3	10	14	0
otu722	11	7	6	31	5	7	4	1	24	1
otu247	5	6	27	44	2	4	2	1	5	0
otu65	1	7	10	1	7	19	7	16	27	1
otu70	0	1	7	4	6	5	6	22	43	2
otu294	2	8	13	4	8	12	5	17	12	14
otu60	3	16	6	1	21	11	12	9	10	6
otu795	0	5	10	3	6	13	9	23	22	4
otu6077	1	15	7	0	22	28	6	5	7	3
otu1712	0	5	9	3	14	10	13	15	18	6
otu5414	2	17	12	2	21	11	15	8	1	4
